name,team,position,next_opponent,fixture,predicted_points,now_cost,points_per_game,form,expected_goals,minutes,assists,goals_scored,yellow_cards,red_cards,saves_per_90,total_points,clean_sheets,opponent_difficulty,is_home,chance_of_playing_this_round,player_code,web_name,display_name,image_url_primary,image_url_secondary,image_url_tertiary
Marcos Senesi Barón,Bournemouth,DEF,Newcastle,Bournemouth (H) vs Newcastle,4.23832511821512,4.6,7.0,8.7,0.008400000000000001,360,1,0,1,0,0.0,28,2,2,True,,221466,Senesi,Marcos Senesi Barón,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p221466.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p221466.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_221466.png
Maxence Lacroix,Crystal Palace,DEF,West Ham,Crystal Palace (A) vs West Ham,4.21010047535798,5.0,7.0,6.7,0.006,360,1,0,1,0,0.0,28,3,3,False,,437499,Lacroix,Maxence Lacroix,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p437499.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p437499.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_437499.png
Nordi Mukiele,Sunderland,DEF,Aston Villa,Sunderland (H) vs Aston Villa,4.199997261072265,4.0,7.0,4.7,0.004200000000000001,180,0,0,0,0,0.0,14,1,3,True,,200834,Mukiele,Nordi Mukiele,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p200834.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p200834.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_200834.png
Cristian Romero,Spurs,DEF,Brighton,Spurs (A) vs Brighton,4.159087618215119,5.0,6.8,7.0,0.004200000000000001,360,1,0,1,0,0.0,27,3,3,False,,221632,Romero,Cristian Romero,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p221632.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p221632.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_221632.png
Micky van de Ven,Spurs,DEF,Brighton,Spurs (A) vs Brighton,4.1482397610722614,4.7,6.8,7.0,0.0408,349,0,1,1,0,0.0,27,3,3,False,,491279,Van de Ven,Micky van de Ven,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p491279.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p491279.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_491279.png
Robin Roefs,Sunderland,GKP,Aston Villa,Sunderland (H) vs Aston Villa,4.124411546786547,4.5,6.8,6.3,0.0,360,0,0,1,0,3.25,27,2,3,True,,498016,Roefs,Robin Roefs,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p498016.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p498016.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_498016.png
Phil Foden,Man City,MID,Arsenal,Man City (A) vs Arsenal,3.965429761904762,8.0,6.5,4.3,0.027600000000000003,105,0,1,0,0,0.0,13,1,2,False,100.0,209244,Foden,Phil Foden,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p209244.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p209244.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_209244.png
Nick Pope,Newcastle,GKP,Bournemouth,Newcastle (A) vs Bournemouth,3.9065708333333333,5.0,6.5,5.7,0.0,360,1,0,1,0,2.0,26,3,3,False,,98747,Pope,Nick Pope,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p98747.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p98747.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_98747.png
Tino Livramento,Newcastle,DEF,Bournemouth,Newcastle (A) vs Bournemouth,3.7356646428571487,5.1,6.2,5.3,0.0,360,1,0,0,0,0.0,25,3,3,False,,441191,Livramento,Tino Livramento,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p441191.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p441191.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_441191.png
Mohamed Salah,Liverpool,MID,Everton,Liverpool (H) vs Everton,3.7306246428571486,14.5,6.2,5.7,0.066,360,1,2,0,0,0.0,25,2,3,True,,118748,M.Salah,Mohamed Salah,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p118748.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p118748.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_118748.png
Martín Zubimendi Ibáñez,Arsenal,MID,Man City,Arsenal (H) vs Man City,3.730421785714291,5.4,6.2,6.7,0.0126,360,0,2,1,0,0.0,25,3,2,True,,481655,Zubimendi,Martín Zubimendi Ibáñez,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p481655.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p481655.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_481655.png
