id,name,now_cost,position,team,cost_change_start_fall,creativity,status,form_rank,expected_assists_per_90,goals_scored,region,selected_rank,threat_rank_type,creativity_rank,direct_freekicks_order,assists,expected_goal_involvements,cost_change_event,web_name,form_rank_type,clean_sheets,penalties_missed,ict_index_rank_type,cost_change_start,value_season,can_select,expected_goals_conceded_per_90,clean_sheets_per_90,event_points,goals_conceded,form,cost_change_event_fall,transfers_out,threat_rank,points_per_game,value_form,minutes,ict_index_rank,chance_of_playing_next_round,red_cards,expected_assists,points_per_game_rank_type,influence_rank_type,now_cost_rank,creativity_rank_type,ep_next,dreamteam_count,yellow_cards,in_dreamteam,saves,penalties_order,bps,selected_rank_type,ep_this,saves_per_90,news_added,expected_goals,transfers_out_event,threat,news,ict_index,influence,transfers_in,expected_goals_conceded,points_per_game_rank,bonus,now_cost_rank_type,penalties_saved,starts_per_90,team_join_date,expected_goals_per_90,influence_rank,starts,own_goals,goals_conceded_per_90,total_points,transfers_in_event,chance_of_playing_this_round,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,selected_by_percent
139,Odeluga Offiah,40,DEF,Brighton,0,0.0,u,447,0.0,0,,505,176,516,,0,0.00,0,Offiah,160,0,0,192,0,0.0,False,0.0,0.0,0,0,0.0,0,13329,480,0.0,0.0,0,535,0.0,0,0.00,191,192,640,189,0.0,0,0,False,0,,0,183,0.0,0.0,2024-08-31T06:26:46.238644Z,0.00,26,0.0,Loaned to Blackpool,0.0,0.0,2639,0.00,542,0,178,0,0.0,,0.0,535,0,0,0.0,0,0,0.0,,0.0,0.1
140,Cameron Peupion,44,MID,Brighton,1,0.0,a,538,0.0,0,13.0,488,231,593,,0,0.00,0,Peupion,198,0,0,237,-1,0.0,True,0.0,0.0,0,0,0.0,0,10101,572,0.0,0.0,0,598,,0,0.00,241,237,519,241,0.0,0,0,False,0,,0,180,0.0,0.0,,0.00,154,0.0,,0.0,0.0,9861,0.00,606,0,306,0,0.0,2022-08-23,0.0,598,0,0,0.0,0,78,,,0.0,0.1
141,Jeremy Sarmiento Morante,49,MID,Brighton,1,0.8,u,672,0.0,0,,662,306,454,,0,0.00,0,Sarmiento,292,0,0,233,-1,0.2,False,0.0,0.0,0,0,0.0,0,2942,689,1.0,0.0,8,499,0.0,0,0.00,216,233,268,229,0.0,0,0,False,0,,3,287,0.0,0.0,2024-08-31T06:27:42.007071Z,0.00,7,0.0,Loaned to Burnley,0.1,0.2,354,0.00,460,0,174,0,0.0,,0.0,499,0,0,0.0,1,0,0.0,,0.0,0.0
142,Jason Steele,41,GKP,Brighton,4,0.0,a,499,0.0,0,241.0,207,38,564,,0,0.00,0,Steele,61,1,0,35,-4,2.2,True,0.94,0.5,0,1,0.0,0,321114,534,4.5,0.0,180,435,,0,0.00,3,35,599,50,0.0,0,0,False,3,,46,29,0.0,1.5,,0.00,1163,0.0,,4.1,40.4,297248,1.88,31,1,39,0,1.0,2018-07-01,0.0,391,2,0,0.5,9,359,,,0.0,0.9
143,Deniz Undav,55,FWD,Brighton,0,0.0,u,713,0.0,0,,693,77,725,,0,0.00,0,Undav,73,0,0,77,0,0.0,False,0.0,0.0,0,0,0.0,0,1457,723,0.0,0.0,0,725,0.0,0,0.00,77,77,116,77,0.0,0,0,False,0,,0,80,0.0,0.0,2024-08-10T12:18:55.962223Z,0.00,2,0.0,Transferred to Stuttgart,0.0,0.0,0,0.00,726,0,33,0,0.0,,0.0,725,0,0,0.0,0,0,0.0,,0.0,0.0
144,Jan Paul van Hecke,45,DEF,Brighton,0,165.2,a,47,0.05,0,152.0,211,53,155,,1,1.64,0,Van Hecke,11,4,0,28,0,11.6,True,1.31,0.21,2,22,4.2,0,159719,213,2.6,0.9,1700,126,100.0,0,0.89,52,21,398,32,4.2,1,4,False,0,,258,82,4.2,0.0,2024-09-29T22:30:06.452903Z,0.75,2075,85.0,,66.7,416.2,207901,24.70,173,4,70,0,1.01,2020-09-10,0.04,59,19,0,1.16,52,4167,100.0,,0.09,0.9
145,Joël Veltman,44,DEF,Brighton,1,100.5,a,77,0.08,0,152.0,144,109,220,,0,1.29,0,Veltman,24,5,0,77,-1,11.6,True,1.24,0.33,2,15,3.2,0,567139,328,3.2,0.7,1379,251,100.0,0,1.16,23,76,481,56,3.2,1,4,False,0,,232,58,3.2,0.0,2024-11-30T01:00:07.662889Z,0.13,2582,23.0,,34.9,224.0,623525,18.98,103,7,84,0,1.04,2020-07-29,0.01,200,16,0,0.98,51,1738,100.0,,0.09,1.8
146,Bart Verbruggen,45,GKP,Brighton,0,0.0,a,42,0.0,0,152.0,108,63,633,,0,0.00,0,Verbruggen,4,4,0,8,0,13.6,True,1.52,0.2,2,29,4.4,0,333889,617,3.0,1.0,1800,191,100.0,0,0.00,20,7,407,69,4.4,1,2,False,56,,237,17,4.4,2.8,2024-08-12T14:30:04.523944Z,0.00,5884,0.0,,51.3,511.8,580187,30.33,126,4,18,0,1.0,2023-07-03,0.0,25,20,0,1.45,61,9945,100.0,,0.0,3.0
147,Adam Webster,43,DEF,Brighton,2,4.4,a,213,0.03,0,241.0,491,116,426,,0,0.07,0,Webster,64,1,0,134,-2,1.9,True,2.42,0.55,0,4,1.4,0,11029,343,1.6,0.3,164,405,100.0,0,0.05,104,134,551,150,1.4,0,0,False,0,,40,178,1.4,0.0,2024-12-23T14:30:07.986462Z,0.02,90,19.0,,6.8,45.2,3948,4.41,321,0,118,0,1.65,2019-08-03,0.01,384,3,0,2.2,8,77,100.0,,0.04,0.1
148,Danny Welbeck,55,FWD,Brighton,0,176.4,a,329,0.03,6,241.0,65,19,146,1.0,2,6.31,0,Welbeck,39,5,0,19,0,13.1,True,1.65,0.38,2,17,0.6,0,3532664,45,4.5,0.1,1191,87,100.0,0,0.45,10,18,104,17,0.6,1,1,False,0,3.0,260,14,0.6,0.0,2024-12-16T09:30:06.558564Z,5.86,7912,385.0,,86.0,298.4,3727217,21.82,33,13,29,0,1.06,2020-10-18,0.44,137,14,0,1.28,72,6885,100.0,,0.47,5.8
149,Mats Wieffer,47,MID,Brighton,3,80.3,d,644,0.03,1,152.0,495,144,251,,2,0.68,0,Wieffer,273,1,0,146,-3,6.0,True,1.88,0.19,0,12,0.0,0,20433,259,2.2,0.0,464,290,50.0,0,0.18,97,118,333,157,0.0,0,2,False,0,,104,184,0.0,0.0,2024-12-21T22:00:08.030972Z,0.50,154,57.0,Thigh injury - 50% chance of playing,27.8,144.0,16152,9.70,231,3,216,0,0.78,2024-07-06,0.1,271,4,0,2.33,28,18,50.0,,0.13,0.1
595,Brajan Gruda,54,MID,Brighton,1,115.8,a,276,0.14,0,80.0,593,121,204,,0,0.76,0,Gruda,139,1,0,152,-1,2.4,True,1.56,0.28,0,8,1.0,0,4171,209,1.3,0.2,317,301,100.0,0,0.49,180,173,139,128,1.0,0,0,False,0,,43,245,1.0,0.0,2024-11-30T01:00:08.395710Z,0.27,43,88.0,,25.4,50.4,1701,5.49,376,0,84,0,1.14,2024-08-14,0.08,375,4,0,2.27,13,22,100.0,,0.22,0.0
600,Yasin Ayari,50,MID,Brighton,0,289.6,a,185,0.09,0,206.0,561,89,78,,0,2.57,0,Ayari,86,5,0,81,0,6.8,True,1.37,0.38,2,14,1.8,0,5002,135,1.8,0.4,1190,137,100.0,0,1.25,139,101,226,61,1.8,0,3,False,0,,179,225,1.8,0.0,2024-12-03T12:30:09.025260Z,1.32,67,153.0,,63.0,187.8,5210,18.17,303,0,142,0,0.98,2023-01-30,0.1,236,13,0,1.06,34,90,100.0,3.0,0.19,0.0
601,Andrew Moran,50,MID,Brighton,0,0.0,u,693,0.0,0,,710,315,713,,0,0.00,0,Moran,307,0,0,317,0,0.0,False,0.0,0.0,0,0,0.0,0,519,707,0.0,0.0,0,714,0.0,0,0.00,318,317,227,318,0.0,0,0,False,0,,0,313,0.0,0.0,2024-08-20T12:19:09.002604Z,0.00,1,0.0,Loaned to Stoke City,0.0,0.0,24,0.00,715,0,143,0,0.0,,0.0,714,0,0,0.0,0,0,0.0,,0.0,0.0
615,Carl Rushworth,40,GKP,Brighton,0,0.0,u,455,0.0,0,,542,32,524,,0,0.00,0,Rushworth,56,0,0,65,0,0.0,False,0.0,0.0,0,0,0.0,0,7645,488,0.0,0.0,0,543,0.0,0,0.00,65,65,648,45,0.0,0,0,False,0,,0,68,0.0,0.0,2024-08-31T06:28:38.039682Z,0.00,43,0.0,Loaned to Hull City,0.0,0.0,6698,0.00,550,0,60,0,0.0,,0.0,543,0,0,0.0,0,0,0.0,,0.0,0.0
618,Georginio Rutter,51,MID,Brighton,4,191.9,a,96,0.1,4,73.0,256,39,134,,4,4.43,0,Georginio,47,4,0,70,-4,13.5,True,1.61,0.32,6,18,3.0,0,278065,61,3.3,0.6,1127,114,100.0,0,1.22,47,71,184,93,3.0,1,2,False,0,,206,78,3.0,0.0,2025-01-12T22:30:09.270999Z,3.21,1513,292.0,,72.3,250.6,318684,20.22,100,1,113,0,1.04,2024-08-19,0.26,176,13,0,1.44,69,2437,100.0,,0.36,0.5
628,Ferdi Kadioglu,45,DEF,Brighton,0,83.7,i,563,0.07,1,219.0,437,89,243,,0,0.75,0,F.Kadıoğlu,231,2,0,96,0,4.2,True,2.21,0.47,0,8,0.0,0,69364,285,3.2,0.0,385,304,0.0,0,0.31,24,107,373,65,0.0,0,1,False,0,,59,156,0.0,0.0,2024-11-10T01:30:09.967684Z,0.44,340,40.0,Toe Injury - Unknown return date,24.0,116.4,73753,9.44,104,0,63,0,1.17,2024-08-27,0.1,295,5,0,1.87,19,16,0.0,,0.17,0.1
629,Matt O'Riley,55,MID,Brighton,0,143.2,a,158,0.26,1,58.0,526,117,177,,1,2.25,0,O'Riley,76,2,0,128,0,4.0,True,1.18,0.44,0,7,2.2,0,14053,197,2.4,0.4,411,253,100.0,0,1.19,91,146,112,117,2.2,0,1,False,0,,101,204,2.2,0.0,2024-12-16T09:30:07.550940Z,1.06,274,100.0,,34.4,100.0,17053,5.38,212,2,69,0,1.09,2024-08-26,0.23,317,5,1,1.53,22,98,100.0,1.0,0.49,0.0
663,Imari Samuels,40,DEF,Brighton,0,0.0,u,448,0.0,0,241.0,548,177,517,,0,0.00,0,Samuels,161,0,0,193,0,0.0,False,0.0,0.0,0,0,0.0,0,4182,481,0.0,0.0,0,536,0.0,0,0.00,192,193,641,190,0.0,0,0,False,0,,0,195,0.0,0.0,2025-01-17T12:29:48.647053Z,0.00,229,0.0,Loaned to Dundee,0.0,0.0,5264,0.00,543,0,179,0,0.0,2023-05-17,0.0,536,0,0,0.0,0,0,0.0,,0.0,0.0
668,Killian Cahill,39,GKP,Brighton,1,0.0,a,421,0.0,0,104.0,184,13,491,,0,0.00,0,Cahill,39,0,0,50,-1,0.0,True,0.0,0.0,0,0,0.0,0,55095,452,0.0,0.0,0,514,,0,0.00,50,50,729,26,0.0,0,0,False,0,,0,27,0.0,0.0,,0.00,1679,0.0,,0.0,0.0,176427,0.00,521,0,76,0,0.0,2024-08-24,0.0,514,0,0,0.0,0,477,,,0.0,1.2
681,Ruairi McConville,40,DEF,Brighton,0,0.0,a,474,0.0,0,242.0,632,197,540,,0,0.00,0,McConville,180,0,0,208,0,0.0,True,0.0,0.0,0,0,0.0,0,815,508,0.0,0.0,0,558,,0,0.00,208,208,671,206,0.0,0,0,False,0,,0,217,0.0,0.0,,0.00,61,0.0,,0.0,0.0,1231,0.00,566,0,202,0,0.0,2024-11-22,0.0,558,0,0,0.0,0,77,,,0.0,0.0
685,Jacob Slater,40,DEF,Brighton,0,0.0,a,486,0.0,0,241.0,639,208,552,,0,0.00,0,Slater,191,0,0,219,0,0.0,True,0.0,0.0,0,0,0.0,0,773,520,0.0,0.0,0,570,,0,0.00,219,219,685,217,0.0,0,0,False,0,,0,220,0.0,0.0,,0.00,49,0.0,,0.0,0.0,1113,0.00,578,0,215,0,0.0,2024-11-28,0.0,570,0,0,0.0,0,58,,,0.0,0.0
714,Diego Gómez,55,MID,Brighton,0,0.3,a,333,0.9,0,168.0,700,323,466,,0,0.01,0,Gómez,165,0,0,324,0,0.2,True,0.0,0.0,1,0,0.5,0,113,724,1.0,0.1,1,726,100.0,0,0.01,221,324,120,235,0.5,0,0,False,0,,3,305,0.5,0.0,2025-01-09T16:30:09.168224Z,0.00,42,0.0,,0.0,0.0,297,0.00,469,0,74,0,0.0,2025-01-01,0.0,726,0,0,0.0,1,66,100.0,,0.9,0.0
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,0.0,u,609,0.0,0,,706,277,655,,0,0.00,0,Andrey Santos,249,0,0,281,0,0.0,False,0.0,0.0,0,0,0.0,0,613,640,0.0,0.0,0,658,0.0,0,0.00,284,281,442,284,0.0,0,0,False,0,,0,309,0.0,0.0,2024-08-05T10:16:34.176364Z,0.00,2,0.0,Has joined Strasbourg on a season-long loan,0.0,0.0,0,0.00,665,0,276,0,0.0,,0.0,658,0,0,0.0,0,0,0.0,,0.0,0.0
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0,0.0,u,601,0.0,0,,434,269,647,,0,0.00,0,Ângelo,242,0,0,273,0,0.0,False,0.0,0.0,0,0,0.0,0,29652,631,0.0,0.0,0,649,0.0,0,0.00,277,273,432,277,0.0,0,0,False,0,,0,155,0.0,0.0,2024-09-05T10:38:18.297070Z,0.00,92,0.0,Transferred to Al-Nassr,0.0,0.0,5940,0.00,657,0,268,0,0.0,,0.0,649,0,0,0.0,0,0,0.0,,0.0,0.1
153,Benoît Badiashile,43,DEF,Chelsea,2,8.8,i,515,0.02,0,73.0,459,226,413,,0,0.06,0,B.Badiashile,210,0,0,143,-2,1.2,True,1.69,0.0,0,4,0.0,0,20761,554,1.2,0.0,247,421,0.0,0,0.06,125,133,569,140,0.0,0,0,False,0,,22,164,0.0,0.0,2024-12-16T10:30:07.655172Z,0.00,102,0.0,Unknown - Expected back 14 Feb,5.7,48.2,11970,4.63,381,0,132,0,0.73,2023-01-05,0.0,380,2,0,1.46,5,6,0.0,,0.02,0.1
154,Lucas Bergström,39,GKP,Chelsea,1,0.0,a,415,0.0,0,72.0,317,11,486,,0,0.00,0,Bergström,38,0,0,49,-1,0.0,True,0.0,0.0,0,0,0.0,0,21436,446,0.0,0.0,0,510,,0,0.00,49,49,722,24,0.0,0,0,False,0,,0,49,0.5,0.0,,0.00,276,0.0,,0.0,0.0,21290,0.00,518,0,74,0,0.0,2021-07-27,0.0,510,0,0,0.0,0,239,,,0.0,0.3
155,Marcus Bettinelli,39,GKP,Chelsea,1,0.0,a,407,0.0,0,241.0,271,5,478,,0,0.00,0,Bettinelli,32,0,0,43,-1,0.0,True,0.0,0.0,0,0,0.0,0,27965,438,0.0,0.0,0,502,,0,0.00,43,43,706,18,0.0,0,0,False,0,,0,43,0.5,0.0,,0.00,394,0.0,,0.0,0.0,31087,0.00,510,0,68,0,0.0,2021-07-28,0.0,502,0,0,0.0,0,152,,,0.0,0.4
157,Moisés Caicedo Corozo,49,MID,Chelsea,1,362.5,a,203,0.08,1,62.0,189,141,55,,3,2.20,0,Caicedo,96,5,0,58,-1,12.2,True,1.35,0.23,1,26,1.6,0,234589,252,2.7,0.3,1945,94,,0,1.65,68,22,275,43,1.6,0,5,False,0,,373,57,2.1,0.0,,0.55,5015,61.0,,82.6,402.2,266552,29.26,165,2,179,0,1.02,2023-08-14,0.03,66,22,0,1.2,60,1570,,,0.11,1.2
158,Cesare Casadei,44,MID,Chelsea,1,0.0,a,541,0.0,0,106.0,424,233,595,,0,0.00,0,Casadei,201,0,0,239,-1,0.0,True,0.0,0.0,0,0,0.0,0,27167,574,0.0,0.0,0,600,,0,0.00,243,239,523,243,0.0,0,0,False,0,,0,149,0.5,0.0,,0.00,270,0.0,,0.0,0.0,23025,0.00,608,0,310,0,0.0,2022-08-19,0.0,600,0,0,0.0,0,121,,,0.0,0.1
159,Trevoh Chalobah,44,DEF,Chelsea,1,82.1,a,35,0.03,3,241.0,204,13,246,,1,1.71,0,Chalobah,7,3,0,39,-1,14.1,True,1.28,0.23,8,14,4.8,0,105605,130,4.8,1.1,1150,150,100.0,0,0.37,1,39,487,66,4.8,4,1,False,0,,248,80,5.3,0.0,2025-01-02T10:30:08.548907Z,1.34,6280,158.0,,59.6,353.4,183490,16.36,18,8,87,0,1.02,2018-02-16,0.1,107,13,0,1.1,62,7416,100.0,,0.13,1.0
160,Ben Chilwell,46,DEF,Chelsea,4,0.0,a,639,0.0,0,241.0,258,245,685,,0,0.00,0,Chilwell,237,0,0,247,-4,0.0,True,0.0,0.0,0,0,0.0,0,96022,671,0.0,0.0,0,688,,0,0.00,247,247,346,247,0.0,0,0,False,0,,0,97,0.5,0.0,,0.00,641,0.0,,0.0,0.0,40799,0.00,693,0,48,0,0.0,2020-08-26,0.0,688,0,0,0.0,0,287,,,0.0,0.5
161,Carney Chukwuemeka,47,MID,Chelsea,3,0.0,a,646,0.0,0,241.0,531,299,687,,0,0.00,-1,Chukwuemeka,275,0,0,302,-3,0.0,True,0.0,0.0,0,0,0.0,1,8007,673,0.0,0.0,0,690,100.0,0,0.00,305,302,335,305,0.0,0,0,False,0,,0,206,0.5,0.0,2024-10-04T12:30:06.437566Z,0.00,68,0.0,,0.0,0.0,4654,0.00,695,0,218,0,0.0,2022-08-04,0.0,690,0,0,0.0,0,48,100.0,,0.0,0.0
162,Levi Colwill,46,DEF,Chelsea,-1,131.8,d,242,0.05,0,241.0,89,73,187,,1,1.50,0,Colwill,75,4,0,41,1,10.2,True,1.39,0.2,0,25,1.2,0,595594,251,2.4,0.3,1800,154,75.0,0,1.07,63,28,352,42,0.9,0,5,False,0,,233,32,1.3,0.0,2025-01-17T15:00:07.145576Z,0.43,36500,63.0,Knock - 75% chance of playing,58.4,388.4,927308,27.71,206,1,51,0,1.0,2022-07-01,0.02,77,20,0,1.25,47,280,75.0,,0.07,4.1
163,Marc Cucurella Saseta,52,DEF,Chelsea,-2,185.0,a,105,0.08,2,200.0,56,19,137,,2,2.98,0,Cucurella,30,3,0,36,2,10.8,True,1.3,0.17,9,22,2.8,0,1039142,146,2.8,0.5,1625,139,100.0,1,1.52,43,52,161,28,2.8,2,6,False,0,,237,19,3.3,0.0,2024-12-16T09:30:06.586582Z,1.46,24446,145.0,,62.3,292.0,1001564,23.47,152,3,19,0,1.0,2022-08-05,0.08,143,18,0,1.22,56,6250,100.0,,0.16,6.4
164,David Datro Fofana,54,FWD,Chelsea,1,0.0,u,710,0.0,0,54.0,500,76,723,,0,0.00,0,D.D.Fofana,72,0,0,76,-1,0.0,False,0.0,0.0,0,0,0.0,0,15140,720,0.0,0.0,0,723,0.0,0,0.00,76,76,140,76,0.0,0,0,False,0,,0,66,0.0,0.0,2024-09-11T14:26:52.770225Z,0.00,15,0.0,Transferred to AEK Athens,0.0,0.0,4727,0.00,724,0,41,0,0.0,,0.0,723,0,0,0.0,0,0,0.0,,0.0,0.1
165,Deivid Washington de Souza Eugênio,49,FWD,Chelsea,1,0.0,a,678,0.0,0,30.0,401,71,700,,0,0.00,0,Deivid,64,0,0,71,-1,0.0,True,0.0,0.0,0,0,0.0,0,20222,692,0.0,0.0,0,703,,0,0.00,72,71,282,70,0.0,0,0,False,0,,0,60,0.5,0.0,,0.00,210,0.0,,0.0,0.0,15973,0.00,705,0,58,0,0.0,2023-08-24,0.0,703,0,0,0.0,0,99,,,0.0,0.1
166,Kiernan Dewsbury-Hall,55,MID,Chelsea,5,29.1,a,254,0.13,0,241.0,443,187,337,,1,0.41,0,Dewsbury-Hall,127,0,0,192,-5,2.0,True,1.2,0.0,6,3,1.2,0,26636,348,1.8,0.2,132,393,100.0,0,0.19,141,185,111,190,1.2,0,0,False,0,,40,159,0.0,0.0,2024-12-29T08:30:08.647462Z,0.22,100,19.0,,8.1,32.8,6605,1.76,305,1,68,0,0.68,2024-07-02,0.15,404,1,0,2.05,11,39,0.0,,0.28,0.1
167,Axel Disasi,42,DEF,Chelsea,3,34.1,a,337,0.02,1,73.0,281,94,325,,0,0.38,0,Disasi,108,2,0,118,-3,5.2,True,1.56,0.5,1,3,0.4,0,77302,291,3.7,0.1,363,355,,0,0.09,13,122,590,104,0.4,0,1,False,0,,84,107,0.9,0.0,,0.29,1297,36.0,,15.7,86.4,64531,6.29,69,0,148,0,0.99,2023-08-04,0.07,344,4,0,0.74,22,312,,,0.09,0.4
168,Enzo Fernández,49,MID,Chelsea,1,602.6,d,250,0.23,3,10.0,70,51,12,3.0,4,6.13,-1,Enzo,125,3,0,21,-1,13.9,True,1.26,0.18,0,21,1.2,1,1078285,81,3.4,0.2,1507,29,75.0,0,3.78,42,19,269,10,0.9,1,3,False,0,4.0,370,20,1.3,0.0,2025-01-17T15:00:07.174073Z,2.35,69089,240.0,Knock - 75% chance of playing,126.0,415.0,1459703,21.07,92,5,175,0,0.96,2023-01-31,0.14,60,16,0,1.25,68,1201,75.0,3.0,0.37,5.4
169,Conor Gallagher,59,MID,Chelsea,1,0.0,u,715,0.0,0,,414,324,727,,0,0.00,0,Gallagher,320,0,0,325,-1,0.0,False,0.0,0.0,0,0,0.0,0,72422,726,0.0,0.0,0,727,0.0,0,0.00,325,325,82,325,0.0,0,0,False,0,,0,145,0.0,0.0,2024-08-22T11:20:34.236891Z,0.00,37,0.0,Transferred to Atletico Madrid,0.0,0.0,1567,0.00,727,0,53,0,0.0,,0.0,727,0,0,0.0,0,0,0.0,,0.0,0.1
170,Alfie Gilchrist,40,DEF,Chelsea,0,0.0,u,466,0.0,0,,568,189,533,,0,0.00,0,Gilchrist,173,0,0,203,0,0.0,False,0.0,0.0,0,0,0.0,0,7288,499,0.0,0.0,0,552,0.0,0,0.00,203,203,660,200,0.0,0,0,False,0,,0,201,0.0,0.0,2024-08-09T11:15:16.064928Z,0.00,16,0.0,Has joined Sheffield United on a season-long,0.0,0.0,0,0.00,560,0,192,0,0.0,,0.0,552,0,0,0.0,0,0,0.0,,0.0,0.0
171,Malo Gusto,49,DEF,Chelsea,1,232.0,a,287,0.08,0,73.0,149,43,111,,1,2.35,0,Gusto,88,1,0,48,-1,6.1,True,1.4,0.07,1,18,0.8,0,469446,190,1.7,0.2,1251,162,100.0,0,1.12,100,77,273,21,0.8,0,3,False,0,,151,59,1.3,0.0,2024-11-13T09:30:07.704412Z,1.23,8549,107.0,,56.4,222.8,318401,19.44,312,0,31,0,1.01,2023-01-28,0.09,201,14,0,1.29,30,794,100.0,,0.17,1.8
172,Reece James,48,DEF,Chelsea,2,66.1,a,117,0.09,1,241.0,266,122,272,2.0,1,0.50,0,James,37,0,0,114,-2,3.8,True,1.7,0.0,6,6,2.6,0,86922,357,3.0,0.5,350,343,100.0,0,0.36,35,116,303,76,2.6,0,0,False,0,,72,100,3.1,0.0,2024-11-21T14:00:08.020459Z,0.14,1822,15.0,,17.6,93.8,111117,6.63,128,1,35,0,1.03,2019-05-15,0.04,331,4,0,1.54,18,7696,100.0,2.0,0.13,0.4
173,Omari Kellyman,44,MID,Chelsea,1,0.0,i,543,0.0,0,241.0,598,235,597,,0,0.00,0,Kellyman,203,0,0,241,-1,0.0,True,0.0,0.0,0,0,0.0,0,5836,576,0.0,0.0,0,602,0.0,0,0.00,245,241,526,245,0.0,0,0,False,0,,0,250,0.0,0.0,2024-09-08T23:00:06.668188Z,0.00,24,0.0,Hamstring injury - Unknown return date,0.0,0.0,3176,0.00,610,0,313,0,0.0,2024-06-29,0.0,602,0,0,0.0,0,9,0.0,,0.0,0.0
174,Roméo Lavia,45,MID,Chelsea,0,99.8,d,598,0.05,0,21.0,254,211,221,,1,0.48,0,Lavia,239,1,0,165,0,3.3,True,1.86,0.17,0,10,0.0,0,250599,400,1.5,0.0,530,336,75.0,0,0.30,153,157,428,139,0.0,0,4,False,0,,81,77,0.4,0.0,2025-01-17T15:00:07.202444Z,0.18,1323,5.0,Knock - 75% chance of playing,19.6,90.4,188576,10.96,339,0,264,0,1.36,2023-08-18,0.03,338,8,0,1.7,15,119,75.0,,0.08,0.5
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,2,0.0,u,720,0.0,0,,359,78,728,,0,0.00,0,Lukaku,76,0,0,78,-2,0.0,False,0.0,0.0,0,0,0.0,0,61282,728,0.0,0.0,0,728,0.0,0,0.00,78,78,51,78,0.0,0,0,False,0,,0,58,0.0,0.0,2024-08-30T10:21:53.872158Z,0.00,54,0.0,Permanent transfer to Napoli,0.0,0.0,8049,0.00,728,0,20,0,0.0,,0.0,728,0,0,0.0,0,0,0.0,,0.0,0.2
176,Malang Sarr,45,DEF,Chelsea,0,0.0,u,560,0.0,0,,711,237,609,,0,0.00,0,M.Sarr,228,0,0,240,0,0.0,False,0.0,0.0,0,0,0.0,0,452,591,0.0,0.0,0,613,0.0,0,0.00,240,240,367,240,0.0,0,0,False,0,,0,245,0.0,0.0,2024-07-29T09:46:25.583703Z,0.00,0,0.0,Permanent move to RC Lens,0.0,0.0,0,0.00,621,0,58,0,0.0,,0.0,613,0,0,0.0,0,0,0.0,,0.0,0.0
177,Noni Madueke,61,MID,Chelsea,4,292.5,a,140,0.14,6,241.0,86,2,76,,4,8.52,0,Madueke,69,3,0,15,-4,14.4,True,1.46,0.21,7,19,2.4,0,2147868,6,4.4,0.4,1279,20,100.0,0,2.00,19,32,73,59,2.4,1,3,False,0,3.0,296,29,2.9,0.0,2025-01-12T22:30:08.747901Z,6.52,14626,755.0,,141.3,365.0,2387863,20.75,37,10,47,0,1.13,2023-01-20,0.46,95,16,0,1.34,88,1791,100.0,,0.6,4.3
178,Marc Guiu Paz,47,FWD,Chelsea,3,0.3,a,395,0.0,0,200.0,242,66,463,,0,0.00,0,Marc Guiu,44,0,0,66,-3,0.4,True,1.45,0.0,0,2,0.2,0,137994,674,1.0,0.0,33,691,,0,0.00,46,66,338,49,0.2,0,0,False,0,,5,41,0.7,0.0,,0.00,1706,0.0,,0.0,0.0,107086,0.53,452,0,62,0,0.0,2024-07-01,0.0,691,0,0,5.45,2,1296,,,0.0,0.6
179,Mykhailo Mudryk,62,MID,Chelsea,3,31.5,s,719,0.41,0,225.0,357,165,329,,0,0.90,0,Mudryk,322,0,0,188,-3,1.1,True,2.04,0.0,0,2,0.0,0,42375,307,1.0,0.0,145,389,0.0,0,0.66,224,193,69,185,0.0,0,0,False,0,,26,117,0.0,0.0,2024-12-06T15:30:07.786308Z,0.24,125,31.0,Suspended - unknown return date,8.5,23.2,18083,3.28,472,0,44,0,0.62,2023-01-15,0.15,416,1,0,1.24,7,29,0.0,,0.56,0.2
180,Nicolas Jackson,79,FWD,Chelsea,-4,275.3,a,164,0.06,9,189.0,23,3,82,,5,11.35,-1,N.Jackson,24,8,0,4,4,12.9,True,1.2,0.44,2,17,2.2,1,3797649,4,4.9,0.3,1624,13,,0,1.06,8,5,12,4,2.2,2,5,False,0,,379,4,2.7,0.0,,10.29,186702,807.0,,155.8,472.6,5196796,21.59,17,15,4,0,1.11,2023-07-01,0.57,37,20,0,0.94,102,7015,,,0.63,16.6
181,Christopher Nkunku,58,MID,Chelsea,7,114.4,a,330,0.09,2,73.0,134,77,206,,1,4.62,0,Nkunku,163,0,0,113,-7,6.2,True,2.24,0.0,0,9,0.6,0,1625392,116,2.0,0.1,388,220,,0,0.38,116,129,86,130,0.6,1,1,False,0,2.0,109,45,1.1,0.0,,4.24,2234,186.0,,42.6,128.6,284779,9.66,266,4,56,0,0.7,2023-07-01,0.98,286,3,0,2.09,36,304,,,1.07,2.0
